ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1,1,969,22.399999618530273,9.300000190734863,-0.27000001072883606,9.279999732971191,76.724649,11.581719
2,1,1198,20.799999237060547,9.100000381469727,0.009999999776482582,9.220000267028809,76.658641,11.513323
3,1,118,23.899999618530273,9.699999809265137,0.6600000262260437,11.720000267028809,89.404192,26.69524
4,1,310,22.899999618530273,9.399999618530273,0.699999988079071,9.739999771118164,89.473847,26.777449
5,1,1140,21.399999618530273,8.300000190734863,0.3400000035762787,9.15999984741211,76.918438,10.328832
6,1,269,26,8.5,0.20000000298023224,9.550000190734863,80.765481,7.653084
7,1,2092,15.100000381469727,9.699999809265137,0.38999998569488525,9.319999694824219,76.609875,11.43338
8,1,6,27.399999618530273,8.399999618530273,-0.27000001072883606,11.90999984741211,99.862325,12.135756
9,1,75,24.299999237060547,10,0.38999998569488525,13.9399995803833,93.340882,26.68994
10,1,766,23.799999237060547,11.800000190734863,-0.3499999940395355,10.520000457763672,101.614745,16.417275
11,1,1246,21.100000381469727,12.100000381469727,-0.25999999046325684,8.329999923706055,101.542322,17.230119
12,1,58,24.399999618530273,9.600000381469727,0.5400000214576721,11.850000381469727,91.15492,26.693696
13,1,167,23.899999618530273,9.600000381469727,0.5699999928474426,10.029999732971191,91.14321,26.799759
14,1,167,23.899999618530273,9.600000381469727,0.5699999928474426,10.029999732971191,91.134213,26.798554
15,1,814,23.399999618530273,9,-0.20000000298023224,8.90999984741211,76.799847,11.040077
16,1,1198,20.799999237060547,9.100000381469727,0.009999999776482582,9.220000267028809,76.645371,11.573593
17,1,387,25.399999618530273,10.899999618530273,-0.27000001072883606,10.119999885559082,101.495627,14.547538
18,1,77,24.299999237060547,9.5,0.5699999928474426,12.569999694824219,90.96065,26.712891
19,1,55,24.5,9.5,0.5199999809265137,13.729999542236328,91.006584,26.665285
20,1,50,24.5,9.5,0.5099999904632568,13.380000114440918,91.1016,26.614034
21,1,58,24.399999618530273,9.600000381469727,0.5400000214576721,11.850000381469727,91.143162,26.666771
22,1,186,23.799999237060547,9.600000381469727,0.5600000023841858,9.739999771118164,91.196716,26.787564
23,1,99,26.600000381469727,7.300000190734863,-0.12999999523162842,12.75,81.302093,6.566679
24,1,99,26.600000381469727,7.300000190734863,-0.12999999523162842,12.75,81.28841,6.511508
25,1,104,26.600000381469727,7.400000095367432,-0.11999999731779099,12.8100004196167,81.245547,6.541712
26,1,58,26.899999618530273,6.900000095367432,-0.20000000298023224,12.890000343322754,81.219377,6.416576
27,1,67,24.399999618530273,9.5,0.5600000023841858,12.260000228881836,91.00707,26.669057
28,1,600,25.299999237060547,11,-0.6399999856948853,12.050000190734863,75.7406,14.3536
29,1,634,25.399999618530273,12.100000381469727,-0.28999999165534973,9.239999771118164,98.778963,16.862071
30,1,588,21.600000381469727,11.899999618530273,0.09000000357627869,9.140000343322754,78.835432,29.64939
31,1,1036,18.799999237060547,10.899999618530273,0.20000000298023224,8.270000457763672,78.847766,29.702991
32,1,1335,17.100000381469727,10.199999809265137,0.27000001072883606,7.96999979019165,78.859232,29.797889
33,1,821,20.100000381469727,11.399999618530273,0.1599999964237213,8.420000076293945,78.971949,29.622495
34,1,588,21.600000381469727,11.899999618530273,0.09000000357627869,9.140000343322754,78.858425,29.646586
35,1,1036,18.799999237060547,10.899999618530273,0.20000000298023224,8.270000457763672,78.914687,29.698577
36,1,588,21.600000381469727,11.899999618530273,0.09000000357627869,9.140000343322754,78.896902,29.620746
37,1,478,22.299999237060547,12,0.05000000074505806,10.319999694824219,78.842124,29.542112
38,1,1036,18.799999237060547,10.899999618530273,0.20000000298023224,8.270000457763672,78.835273,29.705287
39,1,588,21.600000381469727,11.899999618530273,0.09000000357627869,9.140000343322754,78.844676,29.628422
40,1,588,21.600000381469727,11.899999618530273,0.09000000357627869,9.140000343322754,78.872249,29.639737
41,1,1304,17.100000381469727,10.300000190734863,0.27000001072883606,7.989999771118164,78.935705,29.728258
42,1,76,26.899999618530273,8.5,-0.25,10.699999809265137,99.776047,12.095604
43,1,19,27.100000381469727,10.100000381469727,0.36000001430511475,13.220000267028809,96.143962,17.053641
44,1,NA,NA,NA,NA,NA,78.152518,30.106259
45,1,1657,17.700000762939453,8.899999618530273,0.15000000596046448,8.539999961853027,76.685814,11.30755
46,1,867,23.100000381469727,10.699999809265137,-0.3199999928474426,9.539999961853027,101.31761,14.469128
47,1,681,25.100000381469727,10.699999809265137,-0.6000000238418579,11.050000190734863,77.32199,12.242706
48,1,853,22.700000762939453,8.5,0.36000001430511475,11.880000114440918,76.066358,12.052852
49,1,575,24.5,10.800000190734863,-0.3100000023841858,9.109999656677246,101.264783,14.545266
50,1,851,22.899999618530273,8.699999809265137,0.05999999865889549,11.960000038146973,76.124707,12.107247
51,1,790,23.399999618530273,7.5,0.28999999165534973,8.550000190734863,77.158638,9.246301
52,1,1025,22,9.100000381469727,-0.20000000298023224,10.3100004196167,76.57581,11.738434
53,1,663,24.200000762939453,8.300000190734863,0.3700000047683716,8.569999694824219,76.887969,10.236443
54,1,975,22.299999237060547,9.100000381469727,-0.05999999865889549,10.729999542236328,76.532364,11.657241
55,1,875,22.799999237060547,8.899999618530273,0.25,11.569999694824219,76.402691,11.673496
56,1,427,24.899999618530273,8.800000190734863,0.47999998927116394,8.210000038146973,98.545892,8.954713
57,1,679,24.100000381469727,7.099999904632568,-0.05000000074505806,8,77.484816,8.41113
58,1,NA,NA,NA,NA,12.6899995803833,81.426709,6.219007
